gender,age,class,embarked,country,fare,sibsp,parch,pred0,age_2,pred1,class_2,pred2,fare_2,pred3,gender_2,pred4,embarked_2,pred5,sibsp_2,pred6,parch_2,pred7
male,42,3rd,Southampton,United States,7.11,0,0,0.006,8,0.528,1st,0.496,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,13,3rd,Southampton,United States,20.05,0,2,0.162,8,0.566,1st,0.678,72,0.726,male,0.726,Southampton,0.726,0,0.726,0,0.422
male,16,3rd,Southampton,United States,20.05,1,1,0.048,8,0.476,1st,0.686,72,0.662,male,0.662,Southampton,0.662,0,0.58,0,0.422
female,39,3rd,Southampton,England,20.05,1,1,0.664,8,0.486,1st,0.824,72,0.896,male,0.662,Southampton,0.662,0,0.58,0,0.422
female,16,3rd,Southampton,Norway,7.13,0,0,0.778,8,0.712,1st,0.856,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,25,3rd,Southampton,United States,7.13,0,0,0.098,8,0.534,1st,0.502,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,30,2nd,Cherbourg,France,24,1,0,0.048,8,0.466,1st,0.62,72,0.47,male,0.47,Southampton,0.49,0,0.422,0,0.422
female,28,2nd,Cherbourg,France,24,1,0,0.944,8,0.94,1st,0.924,72,0.952,male,0.47,Southampton,0.49,0,0.422,0,0.422
male,27,3rd,Cherbourg,Lebanon,18.1509,0,0,0.328,8,0.408,1st,0.614,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,20,3rd,Southampton,Finland,7.1806,0,0,0.032,8,0.584,1st,0.526,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,30,3rd,Southampton,Sweden,7.05,0,0,0.004,8,0.516,1st,0.492,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,27,3rd,Southampton,England,8.01,0,0,0,8,0.578,1st,0.524,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,40,3rd,Southampton,Sweden,9.0906,1,0,0.242,8,0.416,1st,0.708,72,0.9,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,0.8333333333,3rd,Southampton,England,9.07,0,1,0.824,8,0.772,1st,0.67,72,0.58,male,0.58,Southampton,0.58,0,0.58,0,0.422
female,18,3rd,Southampton,England,9.07,0,1,0.722,8,0.624,1st,0.82,72,0.928,male,0.58,Southampton,0.58,0,0.58,0,0.422
male,35,2nd,Southampton,England,13,0,0,0.012,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,25,3rd,Southampton,England,7.1709,0,0,0.02,8,0.558,1st,0.514,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,19,3rd,Southampton,Finland,7.1806,0,0,0.02,8,0.584,1st,0.526,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,24,3rd,Southampton,Argentina,7.01,0,0,0.018,8,0.506,1st,0.486,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,25,3rd,Southampton,Argentina,7.01,0,0,0.022,8,0.506,1st,0.486,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,29,1st,Southampton,United States,211.6009,0,0,0.984,8,0.904,1st,0.904,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,39,3rd,Southampton,England,8.01,0,0,0.022,8,0.578,1st,0.524,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,0.9166666667,1st,Southampton,Canada,151.16,1,2,0.786,8,0.744,1st,0.744,72,0.752,male,0.752,Southampton,0.752,0,0.726,0,0.422
female,2,1st,Southampton,Canada,151.16,1,2,0.354,8,0.556,1st,0.556,72,0.828,male,0.752,Southampton,0.752,0,0.726,0,0.422
male,30,1st,Southampton,Canada,151.16,1,2,0.242,8,0.744,1st,0.744,72,0.752,male,0.752,Southampton,0.752,0,0.726,0,0.422
female,25,1st,Southampton,United States,151.16,1,2,0.49,8,0.556,1st,0.556,72,0.828,male,0.752,Southampton,0.752,0,0.726,0,0.422
male,18,3rd,Southampton,England,8.06,0,0,0.03,8,0.578,1st,0.526,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,19,3rd,Cherbourg,Lebanon,7.0407,0,0,0.008,8,0.382,1st,0.604,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
female,19,3rd,Southampton,Denmark,7.1701,1,0,0.486,8,0.488,1st,0.726,72,0.9,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,33,3rd,Southampton,Norway,22.1006,0,0,0.036,8,0.428,1st,0.508,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,47,1st,Southampton,United States,26.11,0,0,0.438,8,0.574,1st,0.574,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,4,3rd,Southampton,Sweden,31.0506,4,2,0.132,8,0.02,1st,0.486,72,0.514,male,0.514,Southampton,0.514,0,0.726,0,0.422
female,6,3rd,Southampton,Sweden,31.0506,4,2,0.096,8,0.036,1st,0.662,72,0.684,male,0.514,Southampton,0.514,0,0.726,0,0.422
female,2,3rd,Southampton,Sweden,31.0506,4,2,0.1,8,0.036,1st,0.662,72,0.684,male,0.514,Southampton,0.514,0,0.726,0,0.422
female,16,3rd,Southampton,Finland,7.1806,4,2,0.604,8,0.47,1st,0.676,72,0.684,male,0.514,Southampton,0.514,0,0.726,0,0.422
female,38,3rd,Southampton,Sweden,7.1506,4,2,0.216,8,0.406,1st,0.652,72,0.684,male,0.514,Southampton,0.514,0,0.726,0,0.422
female,9,3rd,Southampton,Sweden,31.0506,4,2,0.03,8,0.036,1st,0.662,72,0.684,male,0.514,Southampton,0.514,0,0.726,0,0.422
female,11,3rd,Southampton,Sweden,31.0506,4,2,0.036,8,0.036,1st,0.662,72,0.684,male,0.514,Southampton,0.514,0,0.726,0,0.422
male,39,3rd,Southampton,Sweden,31.0506,1,5,0.02,8,0.204,1st,0.624,72,0.668,male,0.668,Southampton,0.668,0,0.652,0,0.422
male,26,3rd,Southampton,Sweden,7.1506,0,0,0.026,8,0.54,1st,0.5,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,39,3rd,Southampton,Sweden,31.0506,1,5,0.184,8,0.228,1st,0.758,72,0.778,male,0.668,Southampton,0.668,0,0.652,0,0.422
male,20,3rd,Southampton,Sweden,7.1701,0,0,0,8,0.556,1st,0.512,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,17,2nd,Southampton,Argentina,11.1,0,0,0.012,8,0.524,1st,0.546,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,27,2nd,Southampton,England,10.1,0,0,0.002,8,0.518,1st,0.538,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,62,1st,Cherbourg,United States,77.1902,1,0,0.926,8,0.958,1st,0.958,72,0.952,male,0.47,Southampton,0.49,0,0.422,0,0.422
male,39,1st,Belfast,Northern Ireland,89,0,0,0.04,8,0.362,1st,0.362,72,0.374,male,0.374,Southampton,0.422,0,0.422,0,0.422
male,26,3rd,Southampton,Bulgaria,7.1711,0,0,0,8,0.556,1st,0.518,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,36,2nd,Southampton,England,26,1,0,0.884,8,0.936,1st,0.892,72,0.9,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,31,2nd,Southampton,England,26,1,0,0.026,8,0.472,1st,0.52,72,0.49,male,0.49,Southampton,0.49,0,0.422,0,0.422
female,53,1st,Southampton,United States,51.0907,2,0,0.982,8,0.912,1st,0.912,72,0.886,male,0.488,Southampton,0.488,0,0.422,0,0.422
male,25,3rd,Southampton,Switzerland,17.16,1,0,0.038,8,0.432,1st,0.548,72,0.49,male,0.49,Southampton,0.49,0,0.422,0,0.422
female,18,3rd,Southampton,Switzerland,17.16,1,0,0.262,8,0.392,1st,0.804,72,0.9,male,0.49,Southampton,0.49,0,0.422,0,0.422
male,25,3rd,Southampton,Sweden,7.1506,0,0,0.06,8,0.54,1st,0.5,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,71,1st,Cherbourg,Argentina,49.1001,0,0,0.046,8,0.526,1st,0.526,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,57,2nd,Southampton,England,13,0,0,0.006,8,0.508,1st,0.528,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,35,3rd,Southampton,Argentina,7.01,0,0,0.034,8,0.506,1st,0.486,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,5,3rd,Southampton,Sweden,31.0709,4,2,0.102,8,0.046,1st,0.49,72,0.514,male,0.514,Southampton,0.514,0,0.726,0,0.422
male,9,3rd,Southampton,Sweden,31.0709,4,2,0.034,8,0.046,1st,0.49,72,0.514,male,0.514,Southampton,0.514,0,0.726,0,0.422
male,3,3rd,Southampton,Sweden,31.0709,4,2,0.406,8,0.046,1st,0.49,72,0.514,male,0.514,Southampton,0.514,0,0.726,0,0.422
male,13,3rd,Southampton,Sweden,31.0709,4,2,0.018,8,0.046,1st,0.49,72,0.514,male,0.514,Southampton,0.514,0,0.726,0,0.422
female,5,3rd,Southampton,Sweden,31.0709,4,2,0.362,8,0.136,1st,0.676,72,0.684,male,0.514,Southampton,0.514,0,0.726,0,0.422
male,40,3rd,Southampton,Sweden,31.0709,1,5,0.012,8,0.212,1st,0.626,72,0.668,male,0.668,Southampton,0.668,0,0.652,0,0.422
male,13,3rd,Southampton,Sweden,7.1511,0,0,0.52,8,0.586,1st,0.516,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,38,3rd,Southampton,Sweden,31.0709,1,5,0.44,8,0.286,1st,0.758,72,0.778,male,0.668,Southampton,0.668,0,0.652,0,0.422
female,45,3rd,Cherbourg,Lebanon,7.0406,0,0,0.814,8,0.86,1st,0.888,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,23,3rd,Southampton,Argentina,7.01,0,0,0.002,8,0.506,1st,0.486,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,47,1st,Cherbourg,United States,247.1006,1,0,0.148,8,0.448,1st,0.448,72,0.47,male,0.47,Southampton,0.49,0,0.422,0,0.422
female,18,1st,Cherbourg,United States,247.1006,1,0,0.98,8,0.936,1st,0.936,72,0.952,male,0.47,Southampton,0.49,0,0.422,0,0.422
female,17,3rd,Cherbourg,Lebanon,14.0902,0,0,0.372,8,0.584,1st,0.832,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,27,3rd,Cherbourg,Canada,7.0406,0,0,0.014,8,0.366,1st,0.59,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
female,24,1st,Cherbourg,France,69.06,0,0,0.99,8,0.95,1st,0.95,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,23,3rd,Southampton,Sweden,7.1701,0,0,0,8,0.556,1st,0.512,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,15,3rd,Cherbourg,Lebanon,7.0407,0,0,0.916,8,0.866,1st,0.892,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,32,3rd,Southampton,Finland,15.17,1,0,0.022,8,0.452,1st,0.552,72,0.49,male,0.49,Southampton,0.49,0,0.422,0,0.422
female,33,3rd,Southampton,Finland,15.17,3,0,0.692,8,0.436,1st,0.778,72,0.814,male,0.418,Southampton,0.418,0,0.422,0,0.422
female,3,3rd,Cherbourg,Lebanon,19.0502,2,1,0.946,8,0.87,1st,0.94,72,0.954,male,0.73,Southampton,0.64,0,0.58,0,0.422
female,0.75,3rd,Cherbourg,Lebanon,19.0502,2,1,0.942,8,0.87,1st,0.94,72,0.954,male,0.73,Southampton,0.64,0,0.58,0,0.422
female,5,3rd,Cherbourg,Lebanon,19.0502,2,1,0.95,8,0.87,1st,0.94,72,0.954,male,0.73,Southampton,0.64,0,0.58,0,0.422
female,23,3rd,Cherbourg,Lebanon,19.0502,0,3,0.91,8,0.86,1st,0.948,72,0.956,male,0.784,Southampton,0.682,0,0.682,0,0.422
female,18,3rd,Southampton,England,8.01,0,0,0.664,8,0.632,1st,0.848,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,40,3rd,Cherbourg,Lebanon,7.0406,0,0,0.01,8,0.366,1st,0.59,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,18,2nd,Southampton,England,11.1,0,0,0.004,8,0.524,1st,0.546,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,22,2nd,Southampton,Channel Islands,10.1,0,0,0.048,8,0.518,1st,0.538,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,26,3rd,Southampton,Bosnia,7.1711,0,0,0,8,0.556,1st,0.518,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,36,2nd,Southampton,England,13,0,0,0.948,8,0.91,1st,0.878,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,28,2nd,Southampton,England,10.1,0,0,0.002,8,0.518,1st,0.538,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,31,3rd,Southampton,Hungary,8.1308,0,0,0.436,8,0.56,1st,0.836,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,18,3rd,Cherbourg,Lebanon,14.0901,0,1,0.406,8,0.636,1st,0.836,72,0.962,male,0.784,Southampton,0.58,0,0.58,0,0.422
female,45,3rd,Cherbourg,Lebanon,14.0901,0,1,0.262,8,0.636,1st,0.836,72,0.962,male,0.784,Southampton,0.58,0,0.58,0,0.422
female,27,1st,Southampton,X,78.17,0,0,0.986,8,0.924,1st,0.924,72,0.912,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,47,1st,Southampton,England,30,0,0,0.492,8,0.572,1st,0.572,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,33,3rd,Queenstown,Ireland,7.1707,0,0,0.458,8,0.73,1st,0.852,72,0.916,male,0.39,Southampton,0.422,0,0.422,0,0.422
male,22,3rd,Southampton,England,8.01,0,0,0,8,0.578,1st,0.524,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
female,32,1st,Cherbourg,Italy,76.051,0,0,0.99,8,0.952,1st,0.952,72,0.948,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,52,2nd,Southampton,England,12.1006,0,0,0.006,8,0.526,1st,0.536,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,23,3rd,Southampton,Bulgaria,7.1711,0,0,0,8,0.556,1st,0.518,72,0.422,male,0.422,Southampton,0.422,0,0.422,0,0.422
male,60,1st,Cherbourg,United States,25.1806,0,0,0.056,8,0.58,1st,0.58,72,0.524,male,0.524,Southampton,0.422,0,0.422,0,0.422
male,24,1st,Cherbourg,Canada,247.1005,0,1,0.282,8,0.702,1st,0.702,72,0.784,male,0.784,Southampton,0.58,0,0.58,0,0.422
