gender,age,class,embarked,country,fare,sibsp,parch,pred_age8,pred_fare72,pred_class1,pred_fareclass
male,42,3rd,Southampton,United States,7.11,0,0,0.528,0.418,0.21,0.032
male,13,3rd,Southampton,United States,20.05,0,2,0.566,0.236,0.486,0.56
male,16,3rd,Southampton,United States,20.05,1,1,0.476,0.132,0.39,0.39
female,39,3rd,Southampton,England,20.05,1,1,0.486,0.408,0.882,0.984
female,16,3rd,Southampton,Norway,7.13,0,0,0.712,0.424,0.888,0.958
male,25,3rd,Southampton,United States,7.13,0,0,0.534,0.372,0.262,0.174
male,30,2nd,Cherbourg,France,24,1,0,0.466,0.09,0.448,0.284
female,28,2nd,Cherbourg,France,24,1,0,0.94,0.906,0.944,0.986
male,27,3rd,Cherbourg,Lebanon,18.1509,0,0,0.408,0.398,0.526,0.434
male,20,3rd,Southampton,Finland,7.1806,0,0,0.584,0.258,0.252,0.112
male,30,3rd,Southampton,Sweden,7.05,0,0,0.516,0.404,0.182,0.106
male,27,3rd,Southampton,England,8.01,0,0,0.578,0.358,0.244,0.176
female,40,3rd,Southampton,Sweden,9.0906,1,0,0.416,0.436,0.758,0.97
male,0.8333333333,3rd,Southampton,England,9.07,0,1,0.772,0.5,0.714,0.62
female,18,3rd,Southampton,England,9.07,0,1,0.624,0.424,0.84,0.976
male,35,2nd,Southampton,England,13,0,0,0.508,0.14,0.268,0.136
male,25,3rd,Southampton,England,7.1709,0,0,0.558,0.372,0.256,0.174
male,19,3rd,Southampton,Finland,7.1806,0,0,0.584,0.256,0.242,0.118
male,24,3rd,Southampton,Argentina,7.01,0,0,0.506,0.368,0.23,0.172
male,25,3rd,Southampton,Argentina,7.01,0,0,0.506,0.372,0.24,0.174
female,29,1st,Southampton,United States,211.6009,0,0,0.904,0.974,0.984,0.974
male,39,3rd,Southampton,England,8.01,0,0,0.578,0.472,0.204,0.036
male,0.9166666667,1st,Southampton,Canada,151.16,1,2,0.744,0.78,0.786,0.78
female,2,1st,Southampton,Canada,151.16,1,2,0.556,0.624,0.354,0.624
male,30,1st,Southampton,Canada,151.16,1,2,0.744,0.372,0.242,0.372
female,25,1st,Southampton,United States,151.16,1,2,0.556,0.836,0.49,0.836
male,18,3rd,Southampton,England,8.06,0,0,0.578,0.256,0.232,0.118
male,19,3rd,Cherbourg,Lebanon,7.0407,0,0,0.382,0.282,0.45,0.36
female,19,3rd,Southampton,Denmark,7.1701,1,0,0.488,0.348,0.754,0.98
male,33,3rd,Southampton,Norway,22.1006,0,0,0.428,0.52,0.254,0.13
male,47,1st,Southampton,United States,26.11,0,0,0.574,0.08,0.438,0.08
male,4,3rd,Southampton,Sweden,31.0506,4,2,0.02,0.16,0.524,0.554
female,6,3rd,Southampton,Sweden,31.0506,4,2,0.036,0.182,0.65,0.638
female,2,3rd,Southampton,Sweden,31.0506,4,2,0.036,0.206,0.578,0.566
female,16,3rd,Southampton,Finland,7.1806,4,2,0.47,0.182,0.754,0.78
female,38,3rd,Southampton,Sweden,7.1506,4,2,0.406,0.244,0.648,0.822
female,9,3rd,Southampton,Sweden,31.0506,4,2,0.036,0.11,0.662,0.684
female,11,3rd,Southampton,Sweden,31.0506,4,2,0.036,0.116,0.692,0.724
male,39,3rd,Southampton,Sweden,31.0506,1,5,0.204,0.092,0.306,0.316
male,26,3rd,Southampton,Sweden,7.1506,0,0,0.54,0.376,0.24,0.174
female,39,3rd,Southampton,Sweden,31.0506,1,5,0.228,0.226,0.782,0.856
male,20,3rd,Southampton,Sweden,7.1701,0,0,0.556,0.258,0.238,0.112
male,17,2nd,Southampton,Argentina,11.1,0,0,0.524,0.028,0.252,0.148
male,27,2nd,Southampton,England,10.1,0,0,0.518,0.07,0.262,0.176
female,62,1st,Cherbourg,United States,77.1902,1,0,0.958,0.92,0.926,0.92
male,39,1st,Belfast,Northern Ireland,89,0,0,0.362,0.06,0.04,0.06
male,26,3rd,Southampton,Bulgaria,7.1711,0,0,0.556,0.376,0.25,0.174
female,36,2nd,Southampton,England,26,1,0,0.936,0.9,0.918,0.96
male,31,2nd,Southampton,England,26,1,0,0.472,0.096,0.3,0.244
female,53,1st,Southampton,United States,51.0907,2,0,0.912,0.966,0.982,0.966
male,25,3rd,Southampton,Switzerland,17.16,1,0,0.432,0.286,0.344,0.352
female,18,3rd,Southampton,Switzerland,17.16,1,0,0.392,0.346,0.798,0.97
male,25,3rd,Southampton,Sweden,7.1506,0,0,0.54,0.372,0.248,0.174
male,71,1st,Cherbourg,Argentina,49.1001,0,0,0.526,0.084,0.046,0.084
male,57,2nd,Southampton,England,13,0,0,0.508,0.122,0.08,0.086
male,35,3rd,Southampton,Argentina,7.01,0,0,0.506,0.508,0.24,0.136
male,5,3rd,Southampton,Sweden,31.0709,4,2,0.046,0.098,0.506,0.522
male,9,3rd,Southampton,Sweden,31.0709,4,2,0.046,0.064,0.478,0.5
male,3,3rd,Southampton,Sweden,31.0709,4,2,0.046,0.256,0.618,0.568
male,13,3rd,Southampton,Sweden,31.0709,4,2,0.046,0.034,0.444,0.442
female,5,3rd,Southampton,Sweden,31.0709,4,2,0.136,0.278,0.706,0.66
male,40,3rd,Southampton,Sweden,31.0709,1,5,0.212,0.07,0.296,0.308
male,13,3rd,Southampton,Sweden,7.1511,0,0,0.586,0.38,0.452,0.316
female,38,3rd,Southampton,Sweden,31.0709,1,5,0.286,0.358,0.798,0.866
female,45,3rd,Cherbourg,Lebanon,7.0406,0,0,0.86,0.538,0.916,0.98
male,23,3rd,Southampton,Argentina,7.01,0,0,0.506,0.276,0.222,0.122
male,47,1st,Cherbourg,United States,247.1006,1,0,0.448,0.27,0.148,0.27
female,18,1st,Cherbourg,United States,247.1006,1,0,0.936,0.988,0.98,0.988
female,17,3rd,Cherbourg,Lebanon,14.0902,0,0,0.584,0.558,0.8,0.976
male,27,3rd,Cherbourg,Canada,7.0406,0,0,0.366,0.398,0.442,0.434
female,24,1st,Cherbourg,France,69.06,0,0,0.95,0.988,0.99,0.988
male,23,3rd,Southampton,Sweden,7.1701,0,0,0.556,0.276,0.236,0.122
female,15,3rd,Cherbourg,Lebanon,7.0407,0,0,0.866,0.592,0.914,0.97
male,32,3rd,Southampton,Finland,15.17,1,0,0.452,0.408,0.32,0.264
female,33,3rd,Southampton,Finland,15.17,3,0,0.436,0.494,0.9,0.936
